date,main_numbers,bonus_numbers,scope,winners_rank_1,winners_rank_2,winners_rank_3,winners_rank_4,winners_rank_5,winners_rank_6,winners_rank_7,winners_rank_8,winners_rank_9,winners_rank_10,winners_rank_11,winners_rank_12,winners_rank_13
2017-11-03,5 12 17 33 41,4 9,europe,1,3,14,73,1083,2753,2301,35152,40572,89458,173864,549552,1198104
2017-11-07,7 19 20 37 41,2 12,europe,0,0,2,22,446,858,1210,12194,21728,60738,64618,332500,907965
2017-11-10,13 22 29 36 37,1 9,europe,0,0,8,53,1057,2100,2562,28957,39528,90530,153944,549490,1241136
2017-11-14,14 16 39 40 41,8 10,europe,0,3,1,13,421,922,981,14331,20209,47162,80222,313177,740469
2017-11-17,20 26 35 36 42,5 12,europe,0,0,5,18,661,1199,1502,18349,29453,70888,100915,469372,1134395
2017-11-21,2 10 14 28 31,5 7,europe,0,4,6,78,1097,2675,2066,33869,39261,72995,163151,490855,906994
2017-11-24,19 24 28 30 50,3 10,europe,0,0,6,49,796,1854,1882,26950,38381,88186,140410,577668,1335049
2017-11-28,1 6 12 18 42,2 7,europe,0,6,6,47,888,2409,1815,31595,37638,74992,159087,505364,1000302
2017-12-01,5 24 29 35 46,11 12,europe,0,3,5,28,665,1257,1831,19583,30961,89894,107739,462590,1425495
2017-12-05,11 36 43 44 48,2 7,europe,0,2,8,27,538,1732,1303,27668,29385,62963,166184,463148,970404
2017-12-08,4 22 30 32 34,3 4,europe,0,3,5,48,928,2165,1950,31992,46679,91931,166876,706341,1384859
2017-12-12,20 37 39 44 50,4 8,europe,0,3,5,35,676,1859,1442,27480,36313,74052,160237,514269,1120517
2017-12-15,25 30 31 42 50,2 11,europe,0,0,5,42,845,2063,2050,31232,42586,99990,171626,659729,1574363
2017-12-19,8 15 30 38 46,4 7,europe,1,3,7,63,957,2380,2168,34567,41492,95559,193533,604183,1287357
2017-12-22,5 24 30 31 43,3 6,europe,0,3,7,46,835,2178,1787,32634,38154,78611,176731,564949,1157067
2017-12-26,4 17 30 43 44,2 10,europe,0,3,9,27,493,1053,1138,14551,21175,50947,75333,310777,754009
2017-12-29,4 8 22 23 48,1 12,europe,1,0,10,31,800,1587,2339,22915,36308,111558,120488,518891,1568634
2018-01-02,10 20 21 28 48,1 8,europe,0,3,1,22,536,1210,1135,17609,24060,53024,87475,354721,778317
2018-01-05,2 5 20 38 41,4 8,europe,0,7,9,42,650,1790,1523,28155,32348,71335,156933,490695,1082488
2018-01-09,6 12 15 38 49,2 9,europe,0,3,5,28,584,1474,1233,22441,28300,57271,119632,415934,837537
2018-01-12,13 21 23 30 45,4 6,europe,0,3,8,62,1034,2565,2160,35886,44300,99615,178250,616246,1372220
2018-01-16,20 23 31 34 46,3 12,europe,0,4,5,19,554,1007,1297,13688,24410,60992,74728,362340,907204
2018-01-19,3 8 17 44 50,2 7,europe,0,4,9,64,1032,2788,2246,41751,46628,95116,218796,677323,1353402
2018-01-23,5 8 9 23 24,7 8,europe,0,4,8,50,1352,2015,2262,26961,49803,88016,123402,632007,1157590
2018-01-26,6 15 24 28 48,4 9,europe,0,1,14,71,1109,2875,2308,40328,46745,101544,208277,650928,1404360
2018-01-30,11 15 21 27 35,4 5,europe,0,5,8,62,1090,1974,1972,26715,45781,83903,130826,602610,1144898
2018-02-02,14 34 36 39 48,2 3,europe,0,3,9,41,965,1818,1954,28065,44803,91932,161018,669394,1363018
2018-02-06,8 17 28 34 38,6 12,europe,0,5,14,37,1067,1719,2956,23608,41623,114702,121659,552906,1484274
2018-02-09,22 31 36 38 44,1 11,europe,0,1,8,52,925,2179,2260,31650,43948,112639,174441,664157,1708450
2018-02-13,10 13 17 21 44,1 10,europe,0,4,9,42,1130,2160,3144,27406,49475,132437,134707,643127,1698031
2018-02-16,10 12 23 32 50,4 10,europe,0,5,17,67,1409,2619,3301,37497,60136,149371,187050,834983,2066188
2018-02-20,6 14 19 25 29,5 11,europe,0,6,21,60,1452,2540,3227,36205,57333,131701,184689,775787,1755147
2018-02-23,10 17 18 28 47,3 7,europe,2,5,16,172,1994,6898,3890,98958,90759,179067,486402,1322556,2594009
2018-02-27,3 31 41 48 50,8 11,europe,0,0,2,21,387,917,855,13776,19689,44670,77440,316170,724282
2018-03-02,2 7 34 45 48,1 12,europe,0,2,10,21,577,1135,1499,17774,25546,73784,98073,395706,1173433
2018-03-06,15 20 26 31 44,2 9,europe,0,4,7,39,613,1554,1307,24047,27641,57846,131279,410692,843713
2018-03-09,9 14 21 32 44,1 12,europe,0,2,21,39,848,1444,2737,20167,32400,105598,105822,459675,1436467
2018-03-13,9 11 13 33 49,6 12,europe,1,3,6,32,821,1168,2537,16318,30904,91082,82028,415404,1173870
2018-03-16,4 17 24 27 31,10 11,europe,0,3,8,36,868,1318,3011,18824,34411,110927,96201,451314,1398493
2018-03-20,26 29 37 39 44,9 11,europe,0,2,2,21,472,1089,1115,14333,22841,51922,75884,324786,742868
2018-03-23,5 7 11 46 50,8 11,europe,0,4,1,26,782,1537,1824,21909,37125,89006,113358,518659,1263442
2018-03-27,17 20 23 40 46,9 10,europe,0,0,7,13,531,956,1160,14104,23981,55828,73908,367137,852071
2018-03-30,12 17 28 35 47,7 11,europe,0,4,11,55,870,1776,1923,25476,39337,83813,129691,559458,1204806
2018-04-03,3 8 16 40 43,5 8,europe,0,5,3,42,654,1915,1174,28448,29617,54389,151144,416552,805870
2018-04-06,1 29 33 45 47,4 8,europe,1,2,7,35,708,1848,1464,28515,32928,73462,168281,516669,1139793
2018-04-10,14 27 39 46 48,11 12,europe,1,2,7,14,424,717,1321,11155,17965,52314,56549,250305,759494
2018-04-13,5 25 34 48 50,6 7,europe,0,8,8,39,934,1899,1766,29175,41044,84787,164842,633647,1284361
2018-04-17,15 27 33 39 50,4 6,europe,0,1,3,34,559,1438,1366,20248,24005,55641,110890,355112,802553
2018-04-20,3 16 25 39 44,7 11,europe,0,3,18,62,1482,3054,3326,43327,61778,138348,232051,904841,2000295
2018-04-24,20 23 28 30 44,3 7,europe,1,4,12,57,978,3130,2081,47549,45687,93649,253163,663949,1328641
2018-04-27,12 24 40 41 46,5 12,europe,0,3,6,23,559,1088,1347,17138,27557,65598,92081,425397,1025311
2018-05-01,6 15 17 42 48,4 6,europe,0,2,4,26,440,1256,1019,19621,22676,47577,104981,336895,726765
2018-05-04,6 12 23 39 45,9 12,europe,0,5,12,22,857,1238,2171,17430,34480,90663,90023,485411,1263411
2018-05-08,17 25 35 39 44,2 5,europe,1,1,7,25,592,1541,1270,22688,27328,55653,121697,391445,771586
2018-05-11,3 22 34 49 50,8 11,europe,0,4,5,37,669,1328,1531,18928,29473,67842,101366,425330,992779
2018-05-15,4 16 20 31 39,2 12,europe,0,0,10,19,532,803,1338,11355,20991,56334,58948,300911,798453
2018-05-18,5 8 10 13 31,3 6,europe,0,6,15,97,1539,3001,3099,35599,52400,106432,165889,626624,1267116
2018-05-22,1 11 37 41 48,8 12,europe,0,0,3,13,366,717,908,10776,17848,47909,58842,276427,732470
2018-05-25,13 15 16 28 41,4 5,europe,0,2,12,47,869,1992,1701,27402,42040,79525,138770,604725,1146351
2018-05-29,6 11 20 38 43,2 4,europe,0,5,9,22,565,1269,1168,19354,26322,54538,104785,387481,823102
2018-06-01,17 18 24 29 40,4 5,europe,2,0,8,39,866,1966,1723,28380,42801,83791,147619,636537,1245568
2018-06-05,9 15 22 39 46,4 5,europe,1,2,6,30,614,1098,1173,16388,24743,47906,91180,362325,705841
2018-06-08,8 19 32 43 46,2 8,europe,1,2,9,61,718,2226,1602,31520,31567,66991,175269,469714,979042
